key,value
RULE 7,QUY TẮC SỐ 7
DON'T OVERPACK!,<size\=45>ĐỪNG QUÁ TẢI!</size>
"r:""^	Putting a backpack on is a great way to carry additional items, which can make the difference between life and death!(.+)$""","\tĐeo ba lô là một cách tuyệt vời để mang thêm đồ, việc này có thể tạo ra sự khác biệt giữa việc sống sót hay không!\n\n\tTuy nhiên, bạn càng <color=#61380a>Nặng</color>, thể lực bạn có để leo trèo càng ít! Những hướng đạo sinh dày dạn sẽ biết cách để làm sao mang toàn bộ đồ hữu ích..."
RULE 8,QUY TẮC SỐ 8
KEEP AN EYE OUT!,<size\=45>LUÔN CẢNH GIÁC!</size>
"r:""^	In a survival situation, one of the worst things that can happen is getting separated from the group.(.+)$""","\tMột trong những tình huống tồi tệ nhất khi sinh tồn là bị tách khỏi nhóm！Hãy giữ liên lạc thường xuyên nhất có thể và đánh dấu lộ trình tiếp theo để tránh bị đồng đội bỏ lại."
"r:""^(.+):PING LOCATION$""",$1ĐÁNH DẤU VỊ TRÍ
IN CONCLUSION,<size\=45>KẾT LUẬN</size>
"r:""^	Exploring the wilderness is a dangerous activity that can kill you instantly - but so is everything in this world worth doing, like falling in love.(.+)$""","\tKhám phá thiên nhiên hoang dã là một hoạt động nguy hiểm, có thể giết chết bạn ngay tức thì - nhưng mọi thứ đáng để làm trên thế giới này đều như vậy, như tình yêu. Đừng bao giờ quên trở thành người quản lý tốt cho chính thế giới tươi đẹp của bạn, và một lần nữa, đừng bao giờ quên:"
Torn Page,Trang bị rách
TORN PAGE,TRANG BỊ RÁCH
"Dear Diary, bad news!!!\n\n	The ship captain made an oopsy, and we've wound up crashed on this mysterious island! Thankfully, mysterious islands are my specialty.\n\n	With our whole troop working together, we'll reach the top of the PEAK and signal for help in no time!\n\n	In the meantime, I'll take this opportunity to add some additional pages to my famous guidebook.\n\n	<align\", "Nhật ký thân mến:\n\n\tTin xấu đây! Thuyền trưởng đã mắc một sai lầm nghiêm trọng và khiến con thuyền đâm vào hòn đảo bí ẩn này!\n\n\tMay thay, sinh tồn trên đảo hoang là sở trưởng của tôi.\n\n\Chỉ cần cả đội cùng nhau hợp tác, chúng ta sẽ có thể lên được đỉnh núi và phát tín hiệu cấp cứu ngay lập tức!\n\n\tNhân lúc rảnh rỗi, tôi sẽ thêm một vài trang vào cuốn cẩm nang nổi tiếng của mình.\n\n\t<align\=right>-Trưởng Hướng Đạo Myres"
"r:""^(.+)JUMP\n$""",$1NHẢY\n
"r:""^(.+)CROUCH$""",$1NGỒI
"r:""^BONUS RULE (\d+)$""",QUY TẮC BỔ SUNG $1
WHERE'D EVERYONE GO?,MỌI NGƯỜI ĐI ĐÂU CẢ RỒI?
DON'T FORGET<br><size\,<size\=150%>QUY TẮC SỐ 0!=<size\=110%>ĐỪNG QUÊN\n\nQUY TẮC SỐ 0！
RULE 0 RULE 0 RULE 0 RULE 0,<size\=70%\>QUY TẮC SỐ 0 QUY TẮC SỐ 0 QUY TẮC SỐ 0
Never Abandon a Friend in Need!,	Đừng Bỏ Bạn Khi Hoạn Nạn！
THEY,HỌ
LEFT,BỎ
ME,TÔI
BEHIND,LẠI
SCAN YOUR SHROOMS!,NHÌN KỸ NẤM!
"r:""^(.+)Mushrooms can be a valuable source of nutrition in the wilderness.(.+)$""","Nấm có thể là một nguồn dinh dưỡng quý giá trong thiên nhiên hoang dã.\n\n\tNhưng hãy cẩn thận! Một số loài có thể giết chết bạn hoặc khiến bạn tè ra quần!\n\n\tTuy nhiên, có nhiều cách để phân biệt nấm độc, và đây là một ví dụ!"
GATHER 'ROUND THE FIRE!,QUÂY QUẦN BÊN LỬA!
"r:""^(.+)If you find a nice place to light a campfire(.+)$""","\tNếu bạn tìm thấy một nơi thích hợp để nhóm lửa trại, hãy nhớ mời đồng đội đến trước nhé! Lửa trại không chỉ mang lại hơi ấm và thức ăn ngon... Mà còn mang đến một điều tuyệt vời hơn nữa - ĐỘNG LỰC!"
EMBRACE THE OCCULT!,TẬN DỤNG QUYỀN NĂNG BÍ ẨN!
"r:""^(.+)Wuh woh! One of our scouts stepped on a sea urchin and died!!!(.+)$""","\t<size\=150%\>Ôi thôi! Một trong những hướng đạo sinh của bọn tôi đã giẫm phải một con nhím biển và chết rồi!!!\n\n\tChuyện này đã khiến tôi đau đáu trong lòng... nhưng rồi một đồng đội của tôi đã chạm vào bức tượng kỳ lạ đó và khiến cậu ấy sống lại! \n\n\n\n\n\n\n\nCó vẻ như hòn đảo này đã phá vỡ quy quy luật sinh tử... thật điên rồ! Nếu mọi người còn sống, chạm vào bức tượng đó chắc sẽ còn mang lại điều thú vị hơn nữa...</size>"
HUDDLE UP!,<size\=85%\>TỤ TẬP LẠI!</size>
"r:""^(.+)As we approach the PEAK, the temperature has begun dropping dramatically.(.+)$""","Khi chúng tôi đến gần đỉnh núi, nhiệt độ bắt đầu giảm mạnh. Bạn phải luôn tìm chỗ trú ẩn, vì việc ở ngoài trời giữa gió mạnh sẽ đẩy bạn vào ngõ cụt.\n\n\n\n\n\n\n\n\n\n\n\n\tNếu mọi phương pháp trên không hiệu quả, việc tụ tập bên bạn bè để chia sẻ hơi ấm có thể cứu bạn khỏi cái chết lạnh giá. </size>."
"r:""^(.+)If all else fails, huddling with your friends to share body heat might just save you from an icy grave(.+)$""", "Nếu mọi phương pháp trên thất bại, việc tụ tập bên bạn bè để chia sẻ hơi ấm có thể cứu bạn khỏi cái chết lạnh giá."
I JUST NEED A NAP...,\nCHỈ CẦN NGỦ MỘT MỘT GIẤC THÔI...
"r:""^(.+)I saw such a pretty sight...(.+)$""", "\tMột món quà tuyệt mỹ từ thiên nhiên... một loại trái cây tựa vầng trăng khuyết, vây quanh là những con đom đóm lung linh...\n\n\tKhoảnh khác này làm tôi thấy thật khoan khoái... chợp mắt một lúc chắc chắn sẽ rất tuyệt..."
BONUS RULE ?,QUY TẮC BỔ SUNG?
"r:""^(.+)I had such a wonderful nap, but when I woke up the rest of the troop was gone!(.+)$""","\tTôi vừa đánh một giấc đã đời, nhưng khi tỉnh dậy thì cả đoàn đã biệt tích！\n\n\tHọ sẽ không ngốc đến mức phá<color\=red>QUY TẮC SỐ 0</color> đâu nhể！"
"r:""^We made it!!(.+)$""","Bọn tôi làm được rồi!!\n\n\tNgay cả khi không có sự dẫn dắt của đội trưởng, bọn tôi vẫn được cứu!\n\n\tSněžnýPerník là người đầu tiên lên đến đỉnh.\nZedorfska thì thoát nạn mà không hề hấn gì.\nCaptainBear bị thương nhưng tinh thần rất tốt.\nSqudel & Kirpich bị bầm tím một chút, nhưng may mắn là họ có nhau!\nRonokopl đã lo liệu nấu nướng và đảm bảo an toàn cho cả nhóm.\n\nNgài Myres, nếu ông đang đọc những dòng này... bọn tôi đã cố hết sức nhưng không thể tìm thấy ông! Bọn tôi rất lấy làm tiếc!"
"r:""^Dear Diary, bad(.+)$""", "Nhật ký thân mến:\n\n\tTin xấu đây! Thuyền trưởng đã mắc một sai lầm nghiêm trọng và khiến con thuyền đâm vào hòn đảo bí ẩn này!\n\n\tMay thay, sinh tồn trên đảo hoang là sở trưởng của tôi.\n\n\Chỉ cần cả đội cùng nhau hợp tác, chúng ta sẽ có thể lên được đỉnh núi và phát tín hiệu cấp cứu ngay lập tức!\n\n\tNhân lúc rảnh rỗi, tôi sẽ thêm một vài trang vào cuốn cẩm nang nổi tiếng của mình.\n\n\t<align\=right>-Trưởng Hướng Đạo Myres"
This is a blank page.\n,Đây là một trang trống.\n
