key,value
LOC: SPRAY,XỊT
"r:""^(.+)'s backpack$""",ba lô của $1
"r:""^carry (.+)$""",cõng $1
"r:""^feed to (.+)$""",cho $1 ăn
"r:""^heal (.+)$""",chữa trị cho $1
"r:""^heat up (.+)$""",làm nóng $1
"r:""^drop (.+)$""",bỏ $1
"r:""^use on (.+)$""",sử dụng lên $1
ANCIENT STATUE, TƯỢNG ĐÀI CỔ XƯA
REVIVE SCOUTS, HỒI SINH HƯỚNG ĐẠO SINH
revive scouts,hồi sinh hướng đạo sinh
waiting for all players...,đang đợi mọi người...
"r:""^can't light campfire with friends missing!\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m$""",không thể thắp lửa trại khi vắng bóng bạn bè!\n\n$1 còn cách $2m\n\n$3 còn cách $4m\n\n$5 còn cách $6m\n\n$7 còn cách $8m\n\n$9 còn cách $10m
"r:""^can't light campfire with friends missing!\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m$""",không thể thắp lửa trại khi vắng bóng bạn bè!\n\n$1 còn cách $2m\n\n$3 còn cách $4m\n\n$5 còn cách $6m\n\n$7 còn cách $8m\n\n$9 còn cách $10m\n\n$11 còn cách $12m
"r:""^can't light campfire with friends missing!\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m$""",không thể thắp lửa trại khi vắng bóng bạn bè!\n\n$1 còn cách $2m\n\n$3 còn cách $4m\n\n$5 còn cách $6m\n\n$7 còn cách $8m\n\n$9 còn cách $10m\n\n$11 còn cách $12m\n\n$13 còn cách $14m
"r:""^can't light campfire with friends missing!\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m$""",không thể thắp lửa trại khi vắng bóng bạn bè!\n\n$1 còn cách $2m\n\n$3 còn cách $4m\n\n$5 còn cách $6m\n\n$7 còn cách $8m\n\n$9 còn cách $10m\n\n$11 còn cách $12m\n\n$13 còn cách $14m\n\n$15 còn cách $16m
"r:""^can't light campfire with friends missing!\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m$""",không thể thắp lửa trại khi vắng bóng bạn bè!\n\n$1 còn cách $2m\n\n$3 còn cách $4m\n\n$5 còn cách $6m\n\n$7 còn cách $8m\n\n$9 còn cách $10m\n\n$11 còn cách $12m\n\n$13 còn cách $14m\n\n$15 còn cách $16m\n\n$17 còn cách $18m
"r:""^can't light campfire with friends missing!\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m$""",không thể thắp lửa trại khi vắng bóng bạn bè!\n\n$1 còn cách $2m\n\n$3 còn cách $4m\n\n$5 còn cách $6m\n\n$7 còn cách $8m\n\n$9 còn cách $10m\n\n$11 còn cách $12m\n\n$13 còn cách $14m\n\n$15 còn cách $16m\n\n$17 còn cách $18m\n\n$19 còn cách $20m
"r:""^can't light campfire with friends missing!\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m$""",không thể thắp lửa trại khi vắng bóng bạn bè!\n\n$1 còn cách $2m\n\n$3 còn cách $4m\n\n$5 còn cách $6m\n\n$7 còn cách $8m\n\n$9 còn cách $10m\n\n$11 còn cách $12m\n\n$13 còn cách $14m\n\n$15 còn cách $16m\n\n$17 còn cách $18m\n\n$19 còn cách $20m\n\n$21 còn cách $22m
"r:""^can't light campfire with friends missing!\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m$""",không thể thắp lửa trại khi vắng bóng bạn bè!\n\n$1 còn cách $2m\n\n$3 còn cách $4m\n\n$5 còn cách $6m\n\n$7 còn cách $8m\n\n$9 còn cách $10m\n\n$11 còn cách $12m\n\n$13 còn cách $14m\n\n$15 còn cách $16m\n\n$17 còn cách $18m\n\n$19 còn cách $20m\n\n$21 còn cách $22m\n\n$23 còn cách $24m
"r:""^can't light campfire with friends missing!\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m$""",không thể thắp lửa trại khi vắng bóng bạn bè!\n\n$1 còn cách $2m\n\n$3 còn cách $4m\n\n$5 còn cách $6m\n\n$7 còn cách $8m\n\n$9 còn cách $10m\n\n$11 còn cách $12m\n\n$13 còn cách $14m\n\n$15 còn cách $16m\n\n$17 còn cách $18m\n\n$19 còn cách $20m\n\n$21 còn cách $22m\n\n$23 còn cách $24m\n\n$25 còn cách $26m
"r:""^can't light campfire with friends missing!\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m$""",không thể thắp lửa trại khi vắng bóng bạn bè!\n\n$1 còn cách $2m\n\n$3 còn cách $4m\n\n$5 còn cách $6m\n\n$7 còn cách $8m\n\n$9 còn cách $10m\n\n$11 còn cách $12m\n\n$13 còn cách $14m\n\n$15 còn cách $16m\n\n$17 còn cách $18m\n\n$19 còn cách $20m\n\n$21 còn cách $22m\n\n$23 còn cách $24m\n\n$25 còn cách $26m\n\n$27 còn cách $28m
"r:""^can't light campfire with friends missing!\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m$""",không thể thắp lửa trại khi vắng bóng bạn bè!\n\n$1 còn cách $2m\n\n$3 còn cách $4m\n\n$5 còn cách $6m\n\n$7 còn cách $8m\n\n$9 còn cách $10m\n\n$11 còn cách $12m\n\n$13 còn cách $14m\n\n$15 còn cách $16m\n\n$17 còn cách $18m\n\n$19 còn cách $20m\n\n$21 còn cách $22m\n\n$23 còn cách $24m\n\n$25 còn cách $26m\n\n$27 còn cách $28m\n\n$29 còn cách $30m
"r:""^can't light campfire with friends missing!\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m$""",không thể thắp lửa trại khi vắng bóng bạn bè!\n\n$1 còn cách $2m\n\n$3 còn cách $4m\n\n$5 còn cách $6m\n\n$7 còn cách $8m\n\n$9 còn cách $10m\n\n$11 còn cách $12m\n\n$13 còn cách $14m\n\n$15 còn cách $16m\n\n$17 còn cách $18m\n\n$19 còn cách $20m\n\n$21 còn cách $22m\n\n$23 còn cách $24m\n\n$25 còn cách $26m\n\n$27 còn cách $28m\n\n$29 còn cách $30m\n\n$31 còn cách $32m
"r:""^can't light campfire with friends missing!\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m$""",không thể thắp lửa trại khi vắng bóng bạn bè!\n\n$1 còn cách $2m\n\n$3 còn cách $4m\n\n$5 còn cách $6m\n\n$7 còn cách $8m\n\n$9 còn cách $10m\n\n$11 còn cách $12m\n\n$13 còn cách $14m\n\n$15 còn cách $16m\n\n$17 còn cách $18m\n\n$19 còn cách $20m\n\n$21 còn cách $22m\n\n$23 còn cách $24m\n\n$25 còn cách $26m\n\n$27 còn cách $28m\n\n$29 còn cách $30m\n\n$31 còn cách $32m\n\n$33 còn cách $34m
"r:""^can't light campfire with friends missing!\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m$""",không thể thắp lửa trại khi vắng bóng bạn bè!\n\n$1 còn cách $2m\n\n$3 còn cách $4m\n\n$5 còn cách $6m\n\n$7 còn cách $8m\n\n$9 còn cách $10m\n\n$11 còn cách $12m\n\n$13 còn cách $14m\n\n$15 còn cách $16m\n\n$17 còn cách $18m\n\n$19 còn cách $20m\n\n$21 còn cách $22m\n\n$23 còn cách $24m\n\n$25 còn cách $26m\n\n$27 còn cách $28m\n\n$29 còn cách $30m\n\n$31 còn cách $32m\n\n$33 còn cách $34m\n\n$35 còn cách $36m
"r:""^can't light campfire with friends missing!\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m$""",không thể thắp lửa trại khi vắng bóng bạn bè!\n\n$1 còn cách $2m\n\n$3 còn cách $4m\n\n$5 còn cách $6m\n\n$7 còn cách $8m\n\n$9 còn cách $10m\n\n$11 còn cách $12m\n\n$13 còn cách $14m\n\n$15 còn cách $16m\n\n$17 còn cách $18m\n\n$19 còn cách $20m\n\n$21 còn cách $22m\n\n$23 còn cách $24m\n\n$25 còn cách $26m\n\n$27 còn cách $28m\n\n$29 còn cách $30m\n\n$31 còn cách $32m\n\n$33 còn cách $34m\n\n$35 còn cách $36m\n\n$37 còn cách $38m
"r:""^can't light campfire with friends missing!\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m\n\n(.+) (\d+)m$""",không thể thắp lửa trại khi vắng bóng bạn bè!\n\n$1 còn cách $2m\n\n$3 còn cách $4m\n\n$5 còn cách $6m\n\n$7 còn cách $8m\n\n$9 còn cách $10m\n\n$11 còn cách $12m\n\n$13 còn cách $14m\n\n$15 còn cách $16m\n\n$17 còn cách $18m\n\n$19 còn cách $20m\n\n$21 còn cách $22m\n\n$23 còn cách $24m\n\n$25 còn cách $26m\n\n$27 còn cách $28m\n\n$29 còn cách $30m\n\n$31 còn cách $32m\n\n$33 còn cách $34m\n\n$35 còn cách $36m\n\n$37 còn cách $38m\n\n$39 còn cách $40m
MORALE BOOST!!,TINH THẦN BÙNG NỔ!!
Controls remapping is not currently supported.\nYou can use Steam Input to remap gamepads.,Việc tùy chỉnh điều khiển hiện không được hỗ trợ.\nBạn có thể sử dụng Steam Input để tùy chỉnh tay cầm.
夜芷冰,Ye Zhibing
Salute,Chào
salute,chào
Thumbs Up,Cho 1 Like
thumbs up,cho 1 Like
Think,Suy Tư
think,suy tư
No-No,Thôi-Thôi
no-no,thôi-thôi
Play Dead,Giả Chết
play dead,giả chết
Shrug,Nhún Vai
shrug,nhún vai
Crossed Arms,Khoanh Tay
crossed arms,khoanh tay
Dance,Nhảy
dance,nhảy
"r:""^(\d+\.\d+)m$""",$1m
wear<br> Backpack,đeo<br> Ba Lô
"sr:""^stash<br>(.+)$""",cất<br>$1
"sr:""^take<br>(.+)$""",lấy<br>$1
"sr:""^Cooked (.+)$""",$1 Nướng
"sr:""^Well-done (.+)$""",$1 Chín
"sr:""^Burnt (.+)$""",$1 Cháy
"sr:""^Incinerated (.+)$""",$1 Than
"sr:""^COOKED (.+)$""",$1 NƯỚNG
"sr:""^WELL-DONE (.+)$""",$1 CHÍN
"sr:""^BURNT (.+)$""",$1 CHÁY
"sr:""^INCINERATED (.+)$""", $1 THAN
Passport,Hộ Chiếu
Invite Kiosk,Quầy Mời
INVITE KIOSK,QUẦY MỜI
Invite Friends, Mời Bạn Bè
Rope, Dây Thừng
spectating:, đang dõi theo:
YOURSELF, BẠN
YOUR FRIENDS, BẠN BÈ CỦA BẠN
LEFT YOU TO DIE, ĐÃ BỎ BẠN LẠI ĐẾN KHI THÂN XÁC MỤC RỮA
DEAD,CHẾT
YOU PEAKED, ĐỈNH CAO CỦA BẠN LÀ TẠI MỐC
PROMOTED TO;, THĂNG CẤP LÊN;
NEW FIT!,NGOẠI HÌNH MỚI!
NEW SASH!,THẮT LƯNG MỚI！
NEW LOOK!,ÁNH NHÌN MỚI！
NEW HAT!,MŨ MỚI！
get resurrected at the statue!, hồi sinh tại tượng đài!
you are a ghost\n\n\n, bạn là một vong hồn...\n\n\n
YOUR BODY WAS, XÁC CỦA BẠN ĐÃ
NEVER FOUND, KHÔNG BAO GIỜ TÌM THẤY
SCOUTING REPORT, BÁO CÁO TRINH THÁM
TIME\n, THỜI GIAN\n
TIMELINE, DÒNG THỜI GIAN
NEW BADGES, HUY HIỆU MỚI
NEXT, TIẾP THEO
"r:""^<color\","#FFB964> (.+)</color><color\=#A0EC64> joined the expedition</color>\n$""=<color\=#FFB964> $1</color><color\=#A0EC64> đã tham gia thám hiểm</color>\n"
"r:""^<color\","#FFB964> (.+)</color><color\=#FF7373> left the expedition</color>\n$""=<color\=#FFB964>$1<color\=#FF7373> đã rời khỏi cuộc thám hiểm</color>\n"
