key,value
FAERIE LANTERN,LỒNG ĐÈN TIÊN
Medicinal Root,Nhân Sâm
MEDICINAL ROOT,NHÂN SÂM
Pirate's Compass,La Bàn Cướp Biển
PIRATE'S COMPASS,LA BÀN CƯỚP BIỂN
piton,neo đá
PITON,NEO ĐÁ
Scout Cookies,Bánh Quy Hướng Đạo
SCOUT COOKIES,BÁNH QUY HƯỚNG ĐẠO
Sports Drink,Nước Uống Thể Thao
SPORTS DRINK,NƯỚC UỐNG THỂ THAO
rope cannon,Pháo Dây
ROPE CANNON,PHÁO DÂY
anti-rope cannon,Pháo Dây Phản Trọng Lực
ANTI-ROPE CANNON,PHÁO DÂY PHẢN TRỌNG LỰC
Blowgun,Ống Xì
BLOWGUN,ỐNG XÌ
Chain Launcher,Pháo Xích
CHAIN LAUNCHER,PHÁO XÍCH
Tick,Ve
TICK,VE
Heat Pack,Miếng Giữ Nhiệt
HEAT PACK,MIẾNG GIỮ NHIỆT
Big Egg,Trứng To
BIG EGG,TRỨNG TO
Egg,Trứng
EGG,TRỨNG
Beehive,Tổ Ong
BEEHIVE,TỔ ONG
Honeycomb,Mật Ong
HONEYCOMB,MẬT ONG
Shelf Fungus,Nấm Kê
SHELF FUNGUS,Nấm Kê
Remedy Fungus,Nấm Chữa Bệnh
REMEDY FUNGUS,Nấm Chữa Bệnh
Bounce Fungus,Nấm Nảy
BOUNCE FUNGUS,NẤM NẢY
Cure-All,Thuốc Chữa Bách Bệnh
CURE-ALL,THUỐC CHỮA BÁCH BỆNH
Binoculars,Ống Nhòm
BINOCULARS,ỐNG NHÒM
Seagull Flag,Cờ Hải Âu
SEAGULL FLAG,CỜ HẢI ÂU
LOC: NAME_SEAGULL FLAG,CỜ HẢI ÂU
Turtle Flag,Cờ Rùa
TURTLE FLAG,CỜ RÙA
LOC: NAME_TURTLE FLAG,CỜ RÙA
Cursed Skull,Đầu Lâu Nguyền Rủa
CURSED SKULL,ĐẦU LÂU NGUYỀN RỦA
Pandora's Lunchbox,Hộp Cơm Trưa Pandora
PANDORA'S LUNCHBOX,HỘP CƠM TRƯA PANDORA
Scout Effigy,Hình Nộm Hướng Đạo
SCOUT EFFIGY,HÌNH NỘM HƯỚNG ĐẠO
Scoutmaster's Bugle,Kèn Trưởng Hướng Đạo
SCOUTMASTER'S BUGLE,KÈN TRƯỞNG HƯỚNG ĐẠO
Warp Compass,La Bàn Dịch Chuyển
WARP COMPASS,LA BÀN DỊCH CHUYỂN
Scroll,Cuộn Giấy
SCROLL,CUỘN GIẤY
Stick,Que Gỗ
STICK,QUE GỖ
Stone,Đá
STONE,ĐÁ
Megaphone,Loa
MEGAPHONE,LOA
Berrynana Peel,Vỏ Chuối Mọng
BERRYNANA PEEL,VỎ CHUỐI MỌNG
Scorchberry,Ớt Thiêu
SCORCHBERRY,ỚT THIÊU
Napberry,Dâu Ngủ
NAPBERRY,DÂU NGỦ
Antidote,Thuốc Giải Độc
ANTIDOTE,THUỐC GIẢI ĐỘC
Bugle of Friendship,Kèn Hữu Nghị
BUGLE OF FRIENDSHIP,KÈN HỮU NGHỊ
Portable Stove,Bếp Di Động
PORTABLE STOVE,BẾP DI ĐỘNG
Guidebook,Cẩm Nang
GUIDEBOOK,CẨM NANG
Flare,Pháo Sáng
FLARE,PHÁO SÁNG
Piton,Neo Đá
PITON,NEO ĐÁ
Magic Bean,Đậu Thần
MAGIC BEAN,ĐÂU THẦN
Frisbee,Đĩa Ném
FRISBEE,ĐĨA NÉM
Flying Disc,Đĩa Bay
FLYING DISC,ĐĨA BAY
LOC: NAME_FRISBEE,ĐĨA NÉM
Parasol,Dù
PARASOL,DÙ
LOC: NAME_PARASOL,DÙ
Cactus Ball,Bóng Xương Rồng
CACTUS BALL,BÓNG XƯƠNG RỒNG
LOC: NAME_CACTUS BALL,BÓNG XƯƠNG RỒNG
Aloe Vera,Nha Đam
ALOE VERA,NHA ĐAM
Balloon,Bóng Bay
BALLOON,BÓNG BAY
Dynamite,Thuốc Nổ
DYNAMITE,THUỐC NỔ
LOC: NAME_DYNAMITE=THUỐC NỔ
Sunscreen,Kem Chống Nắng
SUNSCREEN,KEM CHỐNG NẮNG
Green Crispberry,Táo Giòn Lục
GREEN CRISPBERRY,TÁO GIÒN LỤC
Red Crispberry,Táo Giòn Đỏ
RED CRISPBERRY,TÁO GIÒN ĐỎ
Yellow Crispberry,Táo Giòn Vàng
YELLOW CRISPBERRY,TÁO GIÒN VÀNG
Purple Crispberry,Táo Giòn Tím
PURPLE CRISPBERRY,TÁO GIÒN TÍM
Black Crispberry,Táo Giòn Đen
BLACK CRISPBERRY,TÁO GIÒN ĐEN
Blue Crispberry,Táo Giòn Xanh
BLUE CRISPBERRY,TÁO GIÒN XANH
Pink Crispberry,Táo Giòn Hồng
PINK CRISPBERRY,TÁO GIÒN HỒNG
Brown Crispberry,Táo Giòn Nâu
BROWN CRISPBERRY,TÁO GIÒN NÂU
Orange Crispberry,Táo Giòn Cam
ORANGE CRISPBERRY,TÁO GIÒN CAM
Green Kingberry,Sa Kê Vương Lục
GREEN KINGBERRY,SA KÊ VƯƠNG LỤC
Red Kingberry,Sa Kê Vương Đỏ
RED KINGBERRY,SA KÊ VƯƠNG ĐỎ
Yellow Kingberry,Sa Kê Vương Vàng
YELLOW KINGBERRY,SA KÊ VƯƠNG VÀNG
Purple Kingberry,Sa Kê Vương Tím
PURPLE KINGBERRY,SA KÊ VƯƠNG TÍM
Black Kingberry,Sa Kê Vương Đen
BLACK KINGBERRY,SA KÊ VƯƠNG ĐEN
BLACK KINGBERRY,SA KÊ VƯƠNG ĐEN
Blue Kingberry,Sa Kê Vương Xanh
BLUE KINGBERRY,SA KÊ VƯƠNG XANH
Pink Kingberry,Sa Kê Vương Hồng
PINK KINGBERRY,SA KÊ VƯƠNG HỒNG
Brown Kingberry,Sa Kê Vương Nâu
BROWN KINGBERRY,SA KÊ VƯƠNG NÂU
Orange Kingberry,Sa Kê Vương Cam
ORANGE KINGBERRY,SA KÊ VƯƠNG CAM
Green Clusterberry,Mâm Xôi Lục
GREEN CLUSTERBERRY,MÂM XÔI LỤC
Red Clusterberry,Mâm Xôi Đỏ
RED CLUSTERBERRY,MÂM XÔI ĐỎ
Yellow Clusterberry,Mâm Xôi Vàng
YELLOW CLUSTERBERRY,MÂM XÔI VÀNG
Purple Clusterberry,Mâm Xôi Tím
PURPLE CLUSTERBERRY,MÂM XÔI TÍM
Black Clusterberry,Mâm Xôi Đen
BLACK CLUSTERBERRY,MÂM XÔI ĐEN
Blue Clusterberry,Mâm Xôi Xanh
BLUE CLUSTERBERRY,MÂM XÔI XANH
Pink Clusterberry,Mâm Xôi Hồng
PINK CLUSTERBERRY,MÂM XÔI HỒNG
Brown Clusterberry,Mâm Xôi Nâu
BROWN CLUSTERBERRY,MÂM XÔI NÂU
Orange Clusterberry,Mâm Xôi Cam
ORANGE CLUSTERBERRY,MÂM XÔI CAM
Green Winterberry,Quýt Đông Lục
GREEN WINTERBERRY,QUÝT ĐÔNG LỤC
Red Winterberry,Quýt Đông Đỏ
RED WINTERBERRY,QUÝT ĐÔNG ĐỎ
Yellow Winterberry,Quýt Đông Vàng
YELLOW WINTERBERRY,QUÝT ĐÔNG VÀNG
Purple Winterberry,Quýt Đông Tím
PURPLE WINTERBERRY,QUÝT ĐÔNG TÍM
Black Winterberry,Quýt Đông Đen
BLACK WINTERBERRY,QUÝT ĐÔNG ĐEN
Blue Winterberry,Quýt Đông Xanh
BLUE WINTERBERRY,QUÝT ĐÔNG XANH
Pink Winterberry,Quýt Đông Hồng
PINK WINTERBERRY,QUÝT ĐÔNG HỒNG
Brown Winterberry,Quýt Đông Nâu
BROWN WINTERBERRY,QUÝT ĐÔNG NÂU
Orange Winterberry,Quýt Đông Cam
ORANGE WINTERBERRY,QUÝT ĐÔNG CAM
Green Berrynana,Chuối Mọng Lục
GREEN BERRYNANA,CHUỐI MỌNG LỤC
Red Berrynana,Chuối Mọng Đỏ
RED BERRYNANA,CHUỐI MỌNG ĐỎ
Yellow Berrynana,Chuối Mọng Vàng
YELLOW BERRYNANA,CHUỐI MỌNG VÀNG
Purple Berrynana,Chuối Mọng Tím
PURPLE BERRYNANA,CHUỐI MỌNG TÍM
Black Berrynana,Chuối Mọng Đen
BLACK BERRYNANA,CHUỐI MỌNG ĐEN
Blue Berrynana,Chuối Mọng Xanh
BLUE BERRYNANA,CHUỐI MỌNG XANH
Pink Berrynana,Chuối Mọng Hồng
PINK BERRYNANA,CHUỐI MỌNG HỒNG
Brown Berrynana,Chuối Mọng Nâu
BROWN BERRYNANA,CHUỐI MỌNG NÂU
Orange Berrynana,Chuối Mọng Cam
ORANGE BERRYNANA,CHUỐI MỌNG CAM
Prickleberry,Quả Gai
PRICKLEBERRY,QUẢ GAI
LOC: NAME_PRICKLEBERRY,QUẢ GAI
Red Prickleberry,QUẢ Gai Đỏ
RED PRICKLEBERRY,QUẢ GAI ĐỎ
